'id';'tgl_produksi';'jumlah';'satuan';'sumber_pasokan';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_unit_ternak';'id_jenis_produk'
154;2023-10-13;15.00;liter;Peternakan Sendiri;2023-10-14 15:16:17.000;2023-10-14 15:16:17.000;;;;;4;4
155;2023-10-13;20.00;liter;Peternakan Sendiri;2023-10-14 15:16:25.000;2023-10-14 15:16:25.000;;;;;4;5
156;2023-10-17;20.00;liter;Peternakan Sendiri;2023-10-21 11:45:33.000;2023-10-21 11:45:33.000;;;;;12;4
157;2023-10-17;15.00;liter;Peternakan Sendiri;2023-10-21 11:45:54.000;2023-10-21 11:45:54.000;;;;;12;3
158;2023-10-20;15.00;liter;Peternakan Sendiri;2023-10-21 11:46:06.000;2023-10-21 11:46:06.000;;;;;12;5
159;2023-10-20;25.00;liter;Peternakan Sendiri;2023-10-21 11:46:17.000;2023-10-21 11:46:17.000;;;;;12;3
160;2023-10-17;15.00;liter;Peternakan Sendiri;2023-10-21 11:50:54.000;2023-10-21 11:50:54.000;;;;;4;3
161;2023-10-17;35.00;liter;Peternakan Sendiri;2023-10-21 11:51:03.000;2023-10-21 11:51:03.000;;;;;4;4
162;2023-10-20;10.00;liter;Peternakan Sendiri;2023-10-21 11:51:10.000;2023-10-21 11:51:10.000;;;;;4;5
163;2023-10-20;15.00;liter;Peternakan Sendiri;2023-10-21 11:51:19.000;2023-10-21 11:51:19.000;;;;;4;6
164;2024-03-16;36.00;liter;Peternakan Sendiri;2024-03-16 14:27:04.000;2024-03-16 14:27:04.000;;;;;5;3
